API10,Peak Oil,First Month Oil,Peak Oil Month No.,First Test Flowing Tubing Pressure,Ground Elevation,Measured Depth (TD),True Vertical Depth,Upper Perforation,Lower Perforation,Perforated Interval Length,Completion Count,First Test Oil Volume,First Test Oil Gravity,Abstract,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
4201334335,4935,517,3,225,329,14540,9429,10005,14390,4385,2,303,37,859,28.8474057,-98.2226811,28.8614183,-98.2380557
4201334341,13421,13421,1,450,401,15015,10973,10710,14929,4219,2,256,42.5,15,28.7989097,-98.1288026,28.7893238,-98.1196902
4201334342,11023,11023,1,510,399,15540,10543,10832,15354,4522,2,261,41.5,15,28.7990534,-98.1286687,28.8090167,-98.1377733
4201334344,17610,8771,3,255,375,15673,11146,11600,15424,3824,2,361,43,1676,28.7307235,-98.1985924,28.7204036,-98.1891206
4201334361,9445,3796,2,350,400,17015,11185,11219,16921,5702,2,159,47,226,28.7913265,-98.1160911,28.7785271,-98.1027768
4201334364,5516,4372,2,125,427,15345,10584,10729,15252,4523,2,213,41.1,15,28.7933135,-98.1366735,28.8033034,-98.1456564
4201334368,14829,11612,2,902,394,16624,10025,10607,16449,5842,5,1117,42,67,28.8517333,-98.1631381,28.8655731,-98.1757418
4201334372,7015,7015,1,250,415,15760,11142,11213,15612,4399,2,300,41.1,226,28.780927,-98.1315874,28.7690087,-98.1223855
4201334373,5949,5949,1,290,415,16321,11178,11172,16172,5000,2,317,41.1,226,28.7809265,-98.1314269,28.7695853,-98.119099
4201334396,7736,7736,1,200,416,15140,10566,10787,14972,4212,2,337,41.1,1353,28.7868116,-98.1457023,28.796287,-98.155815
4201334398,4882,4882,1,285,417,15116,10526,10868,14999,4212,2,194,41.1,1353,28.7868116,-98.1457023,28.7975781,-98.1538891
4201334409,11407,2890,2,2711,389,14730,10720,11031,14632,3601,2,318,44.6,1184,28.7478429,-98.1777472,28.7564269,-98.186243
4201334412,13056,13056,1,800,387,15599,11111,11105,15457,4352,2,536,45.6,1184,28.7518676,-98.170888,28.7416573,-98.1609367
4201334416,12248,4659,2,3034,388,15823,11162,11081,15722,4641,2,458,46.3,1184,28.7477383,-98.1776459,28.7367495,-98.1673818
4201334418,9483,9483,1,1882,417,15000,10789,11297,14857,3560,2,274,1882,226,28.7814793,-98.1323664,28.7900283,-98.1402949
4201334420,8042,4138,2,692,387,15058,10695,11200,14757,4352,2,431,44,1184,28.7518676,-98.170888,28.7606586,-98.1794569
4201334422,2948,855,4,100,358,12150,7733,7958,12040,4082,2,101,28.05,833,28.9542873,-98.28854,28.9636278,-98.2971528
