API10,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun
4201334335,,,,517,2099,4935,3223,2677,2233,2153,1575,1587,1107,1247,1503,1193,1284,1109,1045,1229,1039,853,888,868,838,743,798,517,513,574,555,488,437,506,367,568,544,483,483,450,439,495,466,403,514,461,436,427,412,388,381,334,382,323,333,368,348,386,341,362,355,328,325,311,335,315,353,290,300,306,311,331,326,258,297,301,307,181
4201334341,,,,,,13421,10587,9367,8127,4729,5662,2163,3153,3924,2879,2937,2647,2344,2237,2206,2012,1934,1880,1839,1821,1600,1677,1590,1501,1447,1411,1398,1339,1320,1218,1085,1077,1073,1170,1145,1187,1192,1162,1117,976,709,880,938,949,955,1076,935,977,937,851,791,800,832,813,891,862,821,812,770,702,702,736,730,677,688,653,682,664,599,654,565,860,761
4201334342,,,,,,11023,8847,6457,5446,5616,7835,6560,8130,5228,3161,2991,2635,2496,2292,2256,2097,2043,1756,1534,1691,1651,1508,1441,1413,1326,1254,1361,1119,1295,1247,1278,1265,1181,1258,1164,1113,1294,1213,1205,1096,1133,1253,1167,1200,1186,1227,1093,1100,1451,1353,949,872,923,845,992,955,966,943,1021,1068,1011,890,874,825,821,799,1041,1108,953,812,658,981,790
4201334344,,,,,8771,16603,17610,12824,12042,10939,7115,7347,7567,4786,6029,5331,5058,4376,4480,4460,4329,3790,2953,3243,3370,3576,4014,3417,3064,2541,2362,2313,2100,1971,858,1613,1853,1430,1558,1374,1424,1190,1093,1097,1006,1176,1078,983,1501,958,940,788,768,959,998,1084,940,1036,882,922,909,795,727,876,672,620,735,747,712,625,689,672,777,483,769,690,562,318
4201334361,,,,,,3796,9445,5261,4488,5032,7876,5002,5434,3682,1780,2050,1752,1508,1398,1420,1270,1249,550,1463,1084,957,1020,984,820,805,741,892,733,767,661,702,651,622,702,653,682,692,699,675,588,636,612,663,643,565,602,593,603,590,569,542,532,495,559,502,544,541,542,511,489,424,438,429,394,399,397,428,341,375,451,363,439,399
4201334364,,,,,,,4372,5516,1877,2407,3346,3748,2535,1786,1225,1536,1729,1659,1546,1528,1346,1073,1259,1231,1166,1027,1216,1082,983,1020,857,781,665,642,722,661,622,571,648,787,1077,789,815,600,616,559,620,630,603,569,576,540,565,523,524,462,511,509,200,704,583,450,453,438,371,522,541,524,508,493,460,448,382,333,431,485,593,500
4201334368,,,,,,,,11612,14829,2744,2421,10618,6743,4461,4705,3748,3365,2905,2876,2676,2448,2349,2155,2087,1986,1742,1988,1748,1784,1588,1627,1563,1457,1018,1511,1414,1387,1114,1214,954,1150,910,1069,1031,1076,1033,966,1020,328,1160,1042,804,916,881,881,865,850,838,817,817,712,726,763,732,742,711,588,712,705,531,633,578,278,1013,1113,947,904,891
4201334372,,,,,,,,,,,7015,4593,5238,3494,2891,3070,2894,2176,2001,2178,1789,1687,1486,1217,1178,1085,1200,1093,1119,991,901,1083,914,904,758,852,785,737,762,801,765,772,732,746,627,689,495,762,517,811,619,513,770,765,568,640,481,492,574,483,454,394,425,494,460,419,468,448,428,446,466,444,453,312,383,372,422,356
4201334373,,,,,,,,,,,5949,3924,4574,3680,2797,3069,2660,2330,2151,2089,1917,1826,1654,1472,1565,1231,1264,1289,1201,1001,1184,1060,1051,1052,890,887,872,796,842,786,773,810,863,827,733,771,628,795,690,811,696,793,746,593,728,632,607,600,650,543,587,558,538,495,335,234,810,479,424,477,372,445,426,399,254,360,386,400
4201334396,,,,,,,,,,,7736,3787,5927,3894,2779,2475,2063,1849,1898,2431,1970,1600,1622,899,1398,1324,1807,1202,962,1123,946,1021,864,888,822,842,1583,840,962,1001,1015,905,955,776,571,764,753,737,713,556,765,723,647,624,759,657,609,637,517,715,594,546,534,395,586,590,551,517,511,519,441,474,437,436,495,412,572,496
